nric,name,email,tel,password
T0239655B,fazli,fazli@mail.com,94059898,password
T1234567C,faris,faris@mail.com,89201392,password
S4732590H,christian,christian@mai.com,97460254,hobybpbd
S5177452H,jordan,jordan@mai.com,89294449,qgaszucf
T0596425Z,sawyer,sawyer@mai.com,87447472,dkmqvgua
T6593475C,natalie,natalie@mai.com,81419931,ewatmsai
T4172299L,samuel,samuel@mai.com,95292677,acykxtsf
S7620167V,grace,grace@mai.com,85388673,cahsgkiv
S7601705S,aaron,aaron@mai.com,84767457,famsvhyq
T1244290Q,brayden,brayden@mai.com,91379858,lpezebec
