T0239653F,1MJ11,A,ACTIVE,0
T0087544E,1MJ11,A,ACTIVE,0
T0091786E,1MJ11,A,ACTIVE,0
T0054520H,1MJ11,A,ACTIVE,0
T0237401Z,1MJ11,A,STOP,50
T0046040G,1MJ21,A,ACTIVE,0
T0233475A,1MJ21,A,ACTIVE,0
T0198016A,1MJ21,A,ACTIVE,0
T0100580J,1MJ21,A,ACTIVE,0
T0227267E,1MJ21,A,ACTIVE,0
T0100087F,1PJ11,A,ACTIVE,0
T0111109J,1PJ11,A,ACTIVE,0
T0041611D,1PJ11,A,ACTIVE,0
T0183665F,1PJ11,A,ACTIVE,100
T0281718C,1PJ11,A,ACTIVE,0
T0098864I,1PJ21,A,ACTIVE,0
T0214866D,1PJ21,A,ACTIVE,75
T0089762G,1PJ21,A,ACTIVE,0
T0228312Z,1PJ21,A,ACTIVE,0
T0205813D,1PJ21,A,ACTIVE,0
T0206166F,1CJ11,A,ACTIVE,0
T0071625H,1CJ11,B,ACTIVE,0
T0248620I,1CJ11,B,ACTIVE,0
T0074042F,1CJ11,A,STOP,0
T0102644A,1CJ11,A,ACTIVE,0
T0185023C,1CJ21,C,ACTIVE,0
T0090472J,1CJ21,B,ACTIVE,0
T0158379J,1CJ21,B,ACTIVE,0
T0085185F,1CJ21,A,ACTIVE,0
T0041611D,1CJ21,A,ACTIVE,0
T0056728G,1BJ11,B,ACTIVE,0
T0084406Z,1BJ11,B,ACTIVE,0
T0239655B,1BJ11,A,ACTIVE,50
T0053324B,1BJ11,A,ACTIVE,0
T0156999B,1BJ11,B,STOP,0
T0258491Z,1BJ21,A,ACTIVE,0
T0207770H,1BJ21,A,ACTIVE,0
T0071989C,1BJ21,A,ACTIVE,0
T0277310J,1BJ21,B,ACTIVE,0
T0009851A,1BJ21,B,ACTIVE,0
T0251460A,1EJ11,B,ACTIVE,50
T0242740G,1EJ11,B,ACTIVE,0
T0087376J,1EJ11,B,ACTIVE,0
T0069273A,1EJ11,C,ACTIVE,100
T0198016A,1EJ11,A,ACTIVE,0
T0056266H,1EJ21,B,ACTIVE,0
T0251063J,1EJ21,B,ACTIVE,0
T0290810C,1EJ21,A,ACTIVE,0
T0000303J,1EJ21,A,ACTIVE,0
T0056728G,1EJ21,C,STOP,0
T0440247I,2MSE1,A,ACTIVE,0
T0480027Z,2MSE1,A,ACTIVE,0
T0343002I,2MSE1,A,ACTIVE,0
T0386163A,2MSE1,C,ACTIVE,0
T0300055E,2MSE1,A,ACTIVE,0
T0336706H,2MSA1,A,ACTIVE,0
T0374341H,2MSA1,A,ACTIVE,0
T0369700I,2MSA1,A,ACTIVE,0
T0339392A,2MSA1,A,ACTIVE,0
T0300055E,2MSA1,A,ACTIVE,75
T0398027D,2PSP1,B,ACTIVE,0
T0464661J,2PSP1,B,ACTIVE,0
T0451615F,2PSP1,C,ACTIVE,0
T0417360G,2PSP1,C,STOP,0
T0374341H,2PSP1,A,ACTIVE,50
T0347600B,2PSC1,A,ACTIVE,0
T0432732I,2PSC1,A,ACTIVE,0
T0466423F,2PSC1,B,ACTIVE,0
